,Unnamed: 0,clean_post,source
0,0,"Le 1er Novembre, nous rappellechaque année et ce depuis1954ces pionniersqui, fidèles à leur serment, se sont sacrifiéspour la libertéde notre beaupayset son indépendance.. Allahles a honorés par le ""martyre""et la vie éternelle, éternelle surtout dans nos espritset à travers les temps⌛.. Nos bravesChouhadas .  . Honorons leur mémoire et prionsavec ferveurpour eux, tout en les saluant et en leur exprimantnotre gratitudeet reconnaissancemais surtout en les remerciantpour leur sacrifice . Il n'est meilleuremanifestationde cette reconnaissanceque notre amourpour notre patriepour laquelle, ils se sont sacrifiésen donnant leur vieet d’œuvrerpour son développement, faire entendresa voixet hisser haut son emblèmeet en être toujours fier .  . N’oublionspas aussi d’honoreret de saluertous les moudjahidines, compagnonsde parcours, qui ont fait de cette journée, par leurs actions héroïqueset sacrifices, une journée mémorableet ont eu la chanced'assister à son anniversaireencore une fois. PrionsDieu Le Tout Puissant pour qu'il leur accorde santé, bonheur et longue vie .  . À l'occasionde la célébrationdu 67éme anniversairedu déclenchement de la révolutionAlgérienneDu1er novembre toute l'équipe de  DJAWLA_3ASSIMIYAprésente ses meilleurs vœux à tout le peuple algérien où qu’il soit  .  . Gloire à nos martyrs . Vivel’Algérie . Forte et Indépendante  .  . المجد و الخلود لشهدائنا الأبرار و تحيا الجزائر  .  1er_Novembre_1954 Révolution  68éme_anniversaire Liberté .  .  kenzA ", HABIB ADVENTURE 
1,1,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visited'aujourd'hui, à la découvertede la  Casbah, histoire, rires, ambiance,Plus avec nos nouveaux amies..un déjeuner au topchez notre ami  stah_el_bahdja_casbah ..une belle journée .  . Nos visites guidées sont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
2,2,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos deux belles visitesd'aujourd'hui, à la découvertede la  Casbah, histoire, rires, ambiancePlus, avec nos nouvelles amies..un déjeuner au topchez notre ami  stah_el_bahdja_casbah ..une belle journée .  . Nos visites guidées sont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
3,3,"صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Photo : Djama3 Lihoud (la mosquée des Juifs) .  . Nos visites sont disponible pendant les jours de semainePlus aussi,pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
4,4,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visited'aujourd'hui, à la découvertede la  Casbah, histoire, rires, ambiance,Plus avec nos nouvelles amies..un déjeuner au topchez notre ami Badis ..une belle journée .  . Nos visites guidées sont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
5,5,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos maaaagnifiiiques visitesde la Casbahavec nos chers clients, des visites découvertede la  PlusCasbah, histoire, rires, rencontres avec nos amis et vive el hadjaaaaaet un dejeunerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habitude au Top .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
6,6,"صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Photo : Atelier a la Casbah .  . Nos visites sont disponible pendant les jours de semaine aussi,pourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
7,7,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiiquevisited'Algeravec notre cher amie izabelaqui nous vient de, une visitePlus découvertede la  Casbahet du tout Alger, Notre Dame et le monument des Martyres..et Tipaza. .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
8,8,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitesde la Casbahet de tout Alger avec nos chers amis Français et Belge,Plus une visite découvertede d'alger, histoire, rires, rencontres avec nos amiset un dejeunerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habitude au Top .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
9,9,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitede la Casbahavec nos chers amis from London, une visite découvertePlusde la  Casbah, histoire, rires, rencontres avec nos amiset un magnifique déjeunerchez khalti fatihaaaaune chekhchoukha délicieuse .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appeler numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
